train_lang,test_lang,train_name,test_name,train_family,test_family,intra_family,label,json_path,total_examples,exact_match,stem_accuracy,suffix_accuracy,source_monolingual_em,transfer_loss_from_source,is_monolingual
aze,aze,Azerbaijani,Azerbaijani,Turkic,Turkic,1,aze_to_aze_seed42,/cross-family-morph/results/matrix/aze_to_aze_seed42.json,350,0.9885714285714285,0.9914285714285714,0.9914285714285714,0.9885714285714285,0.0,1
aze,fin,Azerbaijani,Finnish,Turkic,Uralic,0,aze_to_fin_seed42,/cross-family-morph/results/matrix/aze_to_fin_seed42.json,2553,0.2244418331374853,0.23658441049745396,0.22796709753231492,0.9885714285714285,0.7641295954339432,0
aze,hun,Azerbaijani,Hungarian,Turkic,Uralic,0,aze_to_hun_seed42,/cross-family-morph/results/matrix/aze_to_hun_seed42.json,46079,0.2530653877037262,0.25499685323032184,0.25378154907875605,0.9885714285714285,0.7355060408677023,0
aze,tur,Azerbaijani,Turkish,Turkic,Turkic,1,aze_to_tur_seed42,/cross-family-morph/results/matrix/aze_to_tur_seed42.json,12824,0.6487835308796007,0.6521366188396757,0.6512008733624454,0.9885714285714285,0.3397878976918278,0
fin,aze,Finnish,Azerbaijani,Uralic,Turkic,0,fin_to_aze_seed42,/cross-family-morph/results/matrix/fin_to_aze_seed42.json,350,0.6342857142857142,0.6371428571428571,0.6571428571428571,0.9369369369369369,0.3026512226512227,0
fin,fin,Finnish,Finnish,Uralic,Uralic,1,fin_to_fin_seed42,/cross-family-morph/results/matrix/fin_to_fin_seed42.json,2553,0.9369369369369369,0.9369369369369369,0.9369369369369369,0.9369369369369369,0.0,1
fin,hun,Finnish,Hungarian,Uralic,Uralic,1,fin_to_hun_seed42,/cross-family-morph/results/matrix/fin_to_hun_seed42.json,46079,0.3072549317476508,0.3074068447665965,0.3072983354673495,0.9369369369369369,0.6296820051892862,0
fin,tur,Finnish,Turkish,Uralic,Turkic,0,fin_to_tur_seed42,/cross-family-morph/results/matrix/fin_to_tur_seed42.json,12824,0.4107142857142857,0.4111041796631316,0.4107142857142857,0.9369369369369369,0.5262226512226512,0
hun,aze,Hungarian,Azerbaijani,Uralic,Turkic,0,hun_to_aze_seed42,/cross-family-morph/results/matrix/hun_to_aze_seed42.json,350,0.10571428571428572,0.16285714285714287,0.10857142857142857,0.9613706894680875,0.8556564037538017,0
hun,fin,Hungarian,Finnish,Uralic,Uralic,1,hun_to_fin_seed42,/cross-family-morph/results/matrix/hun_to_fin_seed42.json,2553,0.18801410105757932,0.18840579710144928,0.18958088523305916,0.9613706894680875,0.7733565884105081,0
hun,hun,Hungarian,Hungarian,Uralic,Uralic,1,hun_to_hun_seed42,/cross-family-morph/results/matrix/hun_to_hun_seed42.json,46079,0.9613706894680875,0.9619349378241715,0.9632153475552855,0.9613706894680875,0.0,1
hun,tur,Hungarian,Turkish,Uralic,Turkic,0,hun_to_tur_seed42,/cross-family-morph/results/matrix/hun_to_tur_seed42.json,12824,0.0765751715533375,0.09154709918902058,0.07712102308172177,0.9613706894680875,0.88479551791475,0
tur,aze,Turkish,Azerbaijani,Turkic,Turkic,1,tur_to_aze_seed42,/cross-family-morph/results/matrix/tur_to_aze_seed42.json,350,0.4542857142857143,0.5971428571428572,0.5228571428571429,0.9795695570804741,0.5252838427947598,0
tur,fin,Turkish,Finnish,Turkic,Uralic,0,tur_to_fin_seed42,/cross-family-morph/results/matrix/tur_to_fin_seed42.json,2553,0.21504112808460635,0.218174696435566,0.2154328241284763,0.9795695570804741,0.7645284289958678,0
tur,hun,Turkish,Hungarian,Turkic,Uralic,0,tur_to_hun_seed42,/cross-family-morph/results/matrix/tur_to_hun_seed42.json,46079,0.14394843638099786,0.14909177716530306,0.1506326092146097,0.9795695570804741,0.8356211206994762,0
tur,tur,Turkish,Turkish,Turkic,Turkic,1,tur_to_tur_seed42,/cross-family-morph/results/matrix/tur_to_tur_seed42.json,12824,0.9795695570804741,0.9795695570804741,0.9797255146600125,0.9795695570804741,0.0,1
